Time[s], Channel 7, Channel 9
34.251087999999996, 0, 0
34.438521999999999, 0, 1
34.438989999999997, 0, 0
34.471302000000001, 1, 0
34.471314000000000, 0, 0
34.740735999999998, 0, 1
34.741143999999998, 0, 0
34.801639999999999, 1, 0
34.801651999999997, 0, 0
35.042966000000000, 0, 1
35.043374000000000, 0, 0
35.131977999999997, 1, 0
35.131990000000002, 0, 0
35.345196000000001, 0, 1
35.345604000000002, 0, 0
35.352204000000000, 1, 0
35.352215999999999, 0, 0
35.647441999999998, 0, 1
35.647929999999995, 0, 0
35.682541999999998, 1, 0
35.682553999999996, 0, 0
35.949657999999999, 0, 1
35.950063999999998, 0, 0
36.012879999999996, 1, 0
36.012892000000001, 0, 0
36.251888000000001, 0, 1
36.252293999999999, 0, 0
36.343219999999995, 1, 0
36.343229999999998, 0, 0
36.554117999999995, 0, 1
36.554524000000001, 0, 0
36.563443999999997, 1, 0
36.563455999999995, 0, 0
36.856347999999997, 0, 1
36.856753999999995, 0, 0
37.003895999999997, 1, 0
37.003906000000001, 0, 0
37.158594000000001, 0, 1
37.159030000000001, 0, 0
37.224122000000001, 1, 0
37.224131999999997, 0, 0
37.460808000000000, 0, 1
37.461216000000000, 0, 0
37.554459999999999, 1, 0
37.554469999999995, 0, 0
37.763052000000002, 0, 1
37.763458000000000, 0, 0
37.774684000000001, 1, 0
37.774695999999999, 0, 0
38.065267999999996, 0, 1
38.065675999999996, 0, 0
38.105024000000000, 1, 0
38.105033999999996, 0, 0
38.367497999999998, 0, 1
38.367905999999998, 0, 0
38.545473999999999, 1, 0
38.545485999999997, 0, 0
38.669727999999999, 0, 1
38.670135999999999, 0, 0
38.765699999999995, 1, 0
38.765709999999999, 0, 0
38.971981999999997, 0, 1
38.972467999999999, 0, 0
39.274189999999997, 0, 1
39.274597999999997, 0, 0
39.576419999999999, 0, 1
39.576830000000001, 0, 0
39.878650000000000, 0, 1
39.879059999999996, 0, 0
39.976911999999999, 1, 0
39.976923999999997, 0, 0
40.087026000000002, 1, 0
40.087035999999998, 0, 0
40.181081999999996, 0, 1
40.181567999999999, 0, 0
40.197151999999996, 1, 0
40.197161999999999, 0, 0
40.307277999999997, 1, 0
40.307289999999995, 0, 0
40.417389999999997, 1, 0
40.417401999999996, 0, 0
40.483308000000001, 0, 1
40.483744000000002, 0, 0
40.527505999999995, 1, 0
40.527518000000001, 0, 0
40.785523999999995, 0, 1
40.785931999999995, 0, 0
40.967953999999999, 1, 0
40.967965999999997, 0, 0
41.087753999999997, 0, 1
41.088159999999995, 0, 0
41.389983999999998, 0, 1
41.390391999999999, 0, 0
41.518518000000000, 1, 0
41.518529999999998, 0, 0
41.628630000000001, 1, 0
41.628641999999999, 0, 0
41.692529999999998, 0, 1
41.693017999999995, 0, 0
41.738743999999997, 1, 0
41.738754000000000, 0, 0
41.994734000000001, 0, 1
41.995221999999998, 0, 0
42.179178000000000, 1, 0
42.179189999999998, 0, 0
42.296948000000000, 0, 1
42.297356000000001, 0, 0
42.399419999999999, 1, 0
42.399431999999997, 0, 0
42.599179999999997, 0, 1
42.599585999999995, 0, 0
42.619645999999996, 1, 0
42.619655999999999, 0, 0
42.901409999999998, 0, 1
42.901815999999997, 0, 0
42.949984000000001, 1, 0
42.949993999999997, 0, 0
43.204105999999996, 0, 1
43.204591999999998, 0, 0
43.280321999999998, 1, 0
43.280333999999996, 0, 0
43.506298000000001, 0, 1
43.506703999999999, 0, 0
43.610630000000000, 1, 0
43.610641999999999, 0, 0
43.808527999999995, 0, 1
43.808934000000001, 0, 0
43.830855999999997, 1, 0
43.830866000000000, 0, 0
44.110757999999997, 0, 1
44.111163999999995, 0, 0
44.161193999999995, 1, 0
44.161203999999998, 0, 0
44.412987999999999, 0, 1
44.413393999999997, 0, 0
44.711757999999996, 1, 0
44.711767999999999, 0, 0
44.715567999999998, 0, 1
44.716017999999998, 0, 0
44.821869999999997, 1, 0
44.821881999999995, 0, 0
45.017800000000001, 0, 1
45.018285999999996, 0, 0
45.042096000000001, 1, 0
45.042107999999999, 0, 0
45.320014000000000, 0, 1
45.320422000000001, 0, 0
45.372433999999998, 1, 0
45.372443999999994, 0, 0
45.622243999999995, 0, 1
45.622650000000000, 0, 0
45.702771999999996, 1, 0
45.702784000000001, 0, 0
45.924473999999996, 0, 1
45.924881999999997, 0, 0
46.033110000000001, 1, 0
46.033121999999999, 0, 0
46.227179999999997, 0, 1
46.227665999999999, 0, 0
46.253335999999997, 1, 0
46.253346000000001, 0, 0
46.529392000000001, 0, 1
46.529799999999994, 0, 0
46.583673999999995, 1, 0
46.583686000000000, 0, 0
46.831621999999996, 0, 1
46.832029999999996, 0, 0
47.133851999999997, 0, 1
47.134222000000001, 1, 1
47.134231999999997, 0, 1
47.134671999999995, 0, 0
47.244333999999995, 1, 0
47.244346000000000, 0, 0
47.436081999999999, 0, 1
47.436489999999999, 0, 0
47.464576000000001, 1, 0
47.464585999999997, 0, 0
47.738647999999998, 0, 1
47.739135999999995, 0, 0
47.794913999999999, 1, 0
47.794925999999997, 0, 0
48.040847999999997, 0, 1
48.041255999999997, 0, 0
48.125251999999996, 1, 0
48.125264000000001, 0, 0
48.343077999999998, 0, 1
48.343793999999995, 0, 0
48.455590000000001, 1, 0
48.455601999999999, 0, 0
48.645308000000000, 0, 1
48.645716000000000, 0, 0
48.675815999999998, 1, 0
48.675827999999996, 0, 0
48.947539999999996, 0, 1
48.947945999999995, 0, 0
49.006153999999995, 1, 0
49.006166000000000, 0, 0
49.249769999999998, 0, 1
49.250175999999996, 0, 0
49.336492000000000, 1, 0
49.336503999999998, 0, 0
49.552000000000000, 0, 1
49.552506000000001, 0, 0
49.666829999999997, 1, 0
49.666841999999995, 0, 0
49.854230000000001, 0, 1
49.854635999999999, 0, 0
49.887056000000001, 1, 0
49.887067999999999, 0, 0
50.156459999999996, 0, 1
50.156866000000001, 0, 0
50.217393999999999, 1, 0
50.217405999999997, 0, 0
50.458689999999997, 0, 1
50.459095999999995, 0, 0
50.547731999999996, 1, 0
50.547743999999994, 0, 0
50.760919999999999, 0, 1
50.761327999999999, 0, 0
50.767958000000000, 1, 0
50.767969999999998, 0, 0
50.878747999999995, 1, 0
50.878760000000000, 0, 0
51.063150000000000, 0, 1
51.063558000000000, 0, 0
51.098265999999995, 1, 0
51.098275999999998, 0, 0
51.365379999999995, 0, 1
51.365787999999995, 0, 0
51.428633999999995, 1, 0
51.428646000000001, 0, 0
51.667609999999996, 0, 1
51.668017999999996, 0, 0
51.758972000000000, 1, 0
51.758983999999998, 0, 0
51.969839999999998, 0, 1
51.970247999999998, 0, 0
51.979197999999997, 1, 0
51.979209999999995, 0, 0
52.272071999999994, 0, 1
52.272478000000000, 0, 0
52.309535999999994, 1, 0
52.309547999999999, 0, 0
52.574315999999996, 0, 1
52.574784000000001, 0, 0
52.639873999999999, 1, 0
52.639885999999997, 0, 0
52.876531999999997, 0, 1
52.876937999999996, 0, 0
52.970213999999999, 1, 0
52.970223999999995, 0, 0
53.178761999999999, 0, 1
53.179167999999997, 0, 0
53.190407999999998, 1, 0
53.190419999999996, 0, 0
53.480992000000001, 0, 1
53.481400000000001, 0, 0
53.520745999999995, 1, 0
53.520758000000001, 0, 0
53.783221999999995, 0, 1
53.783628000000000, 0, 0
54.085451999999997, 0, 1
54.085859999999997, 0, 0
54.181421999999998, 1, 0
54.181433999999996, 0, 0
54.387681999999998, 0, 1
54.388089999999998, 0, 0
54.401647999999994, 1, 0
54.401660000000000, 0, 0
54.511761999999997, 1, 0
54.511772000000001, 0, 0
54.689912000000000, 0, 1
54.690320000000000, 0, 0
54.731985999999999, 1, 0
54.731997999999997, 0, 0
54.992141999999994, 0, 1
54.992549999999994, 0, 0
55.062323999999997, 1, 0
55.062335999999995, 0, 0
55.294371999999996, 0, 1
55.294779999999996, 0, 0
55.392645999999999, 1, 0
55.392657999999997, 0, 0
55.596646000000000, 0, 1
55.597133999999997, 0, 0
55.612887999999998, 1, 0
55.612899999999996, 0, 0
55.898879999999998, 0, 1
55.899366000000001, 0, 0
56.163451999999999, 1, 0
56.163463999999998, 0, 0
56.201093999999998, 0, 1
56.201499999999996, 0, 0
56.273564000000000, 1, 0
56.273575999999998, 0, 0
56.503323999999999, 0, 1
56.503731999999999, 0, 0
56.603904000000000, 1, 0
56.603913999999996, 0, 0
56.805554000000001, 0, 1
56.805962000000001, 0, 0
56.824127999999995, 1, 0
56.824140000000000, 0, 0
57.108328000000000, 0, 1
57.108815999999997, 0, 0
57.154465999999999, 1, 0
57.154477999999997, 0, 0
57.410533999999998, 0, 1
57.410939999999997, 0, 0
57.484803999999997, 1, 0
57.484815999999995, 0, 0
57.712764000000000, 0, 1
57.713169999999998, 0, 0
57.815143999999997, 1, 0
57.815154000000000, 0, 0
58.014993999999994, 0, 1
58.015400000000000, 0, 0
58.035367999999998, 1, 0
58.035379999999996, 0, 0
58.317223999999996, 0, 1
58.317629999999994, 0, 0
58.365705999999996, 1, 0
58.365717999999994, 0, 0
58.619747999999994, 0, 1
58.620233999999996, 0, 0
58.696045999999996, 1, 0
58.696055999999999, 0, 0
58.921957999999997, 0, 1
58.922365999999997, 0, 0
59.224204000000000, 0, 1
59.224691999999997, 0, 0
59.246592000000000, 1, 0
59.246603999999998, 0, 0
59.356705999999996, 1, 0
59.356715999999999, 0, 0
59.526419999999995, 0, 1
59.526827999999995, 0, 0
59.576947999999994, 1, 0
59.576957999999998, 0, 0
59.828649999999996, 0, 1
59.829055999999994, 0, 0
59.907285999999999, 1, 0
59.907295999999995, 0, 0
